
Excellent! Now with the **complete ZauqAPI documentation**, I'll create a **comprehensive REST API test cases list** covering **all scenarios** for automation. This is a production-grade test suite.

---

# 📋 ZAUQAPI - Complete REST API Test Cases for Automation

## Test Case Structure
Each test case includes:
- **TC-ID**: Unique identifier
- **Category**: API module
- **Scenario**: What is being tested
- **Method & Endpoint**
- **Preconditions** (auth, data setup)
- **Test Data** (payload)
- **Expected Status Code**
- **Expected Response Validation**
- **Post-actions** (cleanup)

---

## 🔐 1. AUTHENTICATION APIs (8 endpoints)

| TC-ID | Scenario | Method | Endpoint | Preconditions | Test Data | Expected Status | Expected Response | Post-Action |
| TRANS-003 | Bulk transliteration | POST | `/api/transliteration/bulk` | `{ texts: ["text1", "text2"], direction: "urdu-to-roman" }` | 200 OK | `{ results: [] }` |

---

## 📝 17. BLOG APIs (6 endpoints)

| TC-ID | Scenario | Method | Endpoint | Preconditions | Expected Status |
|-------|----------|--------|----------|---------------|-----------------|
| BLOG-001 | Get all blog posts | GET | `/api/blogs` | None | 200 OK |
| BLOG-002 | Get single blog by slug | GET | `/api/blogs/:slug` | Valid blog | 200 OK |
| BLOG-003 | Create blog - Admin | POST | `/api/blogs` | Admin | 201 Created |
| BLOG-004 | Create blog - non-admin | POST | `/api/blogs` | Regular user | 403 Forbidden |
| BLOG-005 | Update blog - Admin | PUT | `/api/blogs/:id` | Admin | 200 OK |
| BLOG-006 | Delete blog - Admin | DELETE | `/api/blogs/:id` | Admin | 204 No Content |
| BLOG-007 | Like blog post | POST | `/api/blogs/:id/like` | Auth user | 200 OK |

---

## 🔐 18. CAPTCHA APIs (3 endpoints)

| TC-ID | Scenario | Method | Endpoint | Expected Status | Expected Response |
|-------|----------|--------|----------|-----------------|-------------------|
| CAPTCHA-001 | Generate captcha | GET | `/api/captcha/generate` | 200 OK | `{ captchaId: "uuid", expiresIn: 300 }` |
| CAPTCHA-002 | Get captcha image | GET | `/api/captcha/image/:captchaId` | 200 OK | `image/png` |
| CAPTCHA-003 | Verify captcha - correct | POST | `/api/captcha/verify` | 200 OK | `{ verified: true }` |
| CAPTCHA-004 | Verify captcha - wrong | POST | `/api/captcha/verify` | 400 Bad Request | `{ verified: false, error: "Incorrect captcha" }` |
| CAPTCHA-005 | Verify expired captcha | POST | `/api/captcha/verify` | 400 Bad Request | `error: "Captcha expired"` |

---

## 💬 19. COMMENT APIs (6 endpoints)

| TC-ID | Scenario | Method | Endpoint | Preconditions | Expected Status |
|-------|----------|--------|----------|---------------|-----------------|
| COMM-001 | Get comments for content | GET | `/api/comments/:contentType/:contentId` | None | 200 OK |
| COMM-002 | Create comment | POST | `/api/comments` | Auth user | 201 Created |
| COMM-003 | Create comment - unauthenticated | POST | `/api/comments` | No token | 401 Unauthorized |
| COMM-004 | Update own comment | PUT | `/api/comments/:id` | Comment owner | 200 OK |
| COMM-005 | Update others' comment | PUT | `/api/comments/:id` | Different user | 403 Forbidden |
| COMM-006 | Delete own comment | DELETE | `/api/comments/:id` | Comment owner | 204 No Content |
| COMM-007 | Like comment | POST | `/api/comments/:id/like` | Auth user | 200 OK |
| COMM-008 | Reply to comment | POST | `/api/comments/:id/reply` | Auth user | 201 Created |

---

## 📢 20. AD APIs (7 endpoints)

| TC-ID | Scenario | Method | Endpoint | Preconditions | Expected Status |
|-------|----------|--------|----------|---------------|-----------------|
| AD-001 | Get active ads by position | GET | `/api/ads/active?position=sidebar` | None | 200 OK |
| AD-002 | Get all ads - Admin | GET | `/api/ads` | Admin | 200 OK |
| AD-003 | Create ad - Admin | POST | `/api/ads` | Admin | 201 Created |
| AD-004 | Update ad - Admin | PUT | `/api/ads/:id` | Admin | 200 OK |
| AD-005 | Delete ad - Admin | DELETE | `/api/ads/:id` | Admin | 204 No Content |
| AD-006 | Track ad click | POST | `/api/ads/:id/click` | None | 200 OK |
| AD-007 | Track ad impression | POST | `/api/ads/:id/impression` | None | 200 OK |

---

## ⚙️ 21. APP SETTINGS APIs (8 endpoints)

| TC-ID | Scenario | Method | Endpoint | Preconditions | Expected Status |
|-------|----------|--------|----------|---------------|-----------------|
| SET-001 | Get all app settings (public) | GET | `/api/app-settings` | None | 200 OK |
| SET-002 | Update settings - Admin | PUT | `/api/app-settings` | Admin | 200 OK |
| SET-003 | Reset to defaults - Admin | POST | `/api/app-settings/reset` | Admin | 200 OK |
| SET-004 | Get single setting by key | GET | `/api/app-settings/:key` | None | 200 OK |
| SET-005 | Get non-existent setting | GET | `/api/app-settings/fake` | None | 404 Not Found |
| SET-006 | Update single setting - Admin | PUT | `/api/app-settings/:key` | Admin | 200 OK |
| SET-007 | Upload logo - Admin | POST | `/api/app-settings/upload/logo` | Admin | 201 Created |
| SET-008 | Upload favicon - Admin | POST | `/api/app-settings/upload/favicon` | Admin | 201 Created |
| SET-009 | Generate API key - Admin | POST | `/api/app-settings/api-keys` | Admin | 201 Created |
| SET-010 | Delete API key - Admin | DELETE | `/api/app-settings/api-keys/:keyId` | Admin | 204 No Content |

---

## 🗺️ 22. SITEMAP APIs (3 endpoints)

| TC-ID | Scenario | Method | Endpoint | Expected Status | Expected Response |
|-------|----------|--------|----------|-----------------|-------------------|
| SITEMAP-001 | Generate sitemap (force) | GET | `/api/sitemap/generate` | 200 OK | `{ success: true, urlCount: number }` |
| SITEMAP-002 | Get sitemap.xml | GET | `/api/sitemap` | 200 OK | `application/xml` |
| SITEMAP-003 | Get sitemap index | GET | `/api/sitemap/index` | 200 OK | `XML sitemap index` |

---

## 🔄 23. RATE LIMITING & SECURITY SCENARIOS

| TC-ID | Scenario | Method | Endpoint | Test Execution | Expected Status |
|-------|----------|--------|----------|----------------|-----------------|
| RATE-001 | Rate limit - login attempts | POST | `/api/auth/login` | 6 failed attempts in 5 min | 429 Too Many Requests |
| RATE-002 | Rate limit - API requests | GET | `/api/poems` | 101 requests in 60 sec | 429 after limit |
| SEC-001 | SQL injection in query param | GET | `/api/poems?id=1' OR '1'='1` | Single request | 400 or sanitized 200 |
| SEC-002 | XSS in comment | POST | `/api/comments` | `<script>alert('xss')</script>` | 400 or escaped |
| SEC-003 | JWT token expiry | GET | `/api/auth/me` | Use expired token | 403 Forbidden |
| SEC-004 | Missing auth header | GET | `/api/users/profile` | No Authorization header | 401 Unauthorized |
| SEC-005 | CORS validation | OPTIONS | `/api/poems` | From different origin | Appropriate CORS headers |
| SEC-006 | IDOR attempt | GET | `/api/users/999` | Access another user's data | 403 Forbidden |

---

## 🚦 24. PERFORMANCE & LOAD SCENARIOS

| TC-ID | Scenario | Method | Endpoint | Threshold | Expected |
|-------|----------|--------|----------|-----------|----------|
| PERF-001 | Response time - GET poems | GET | `/api/poems?page=1` | < 500ms | Pass |
| PERF-002 | Response time - GET audio with filter | GET | `/api/audio/type/naat` | < 800ms | Pass |
| PERF-003 | Response time - Search | GET | `/api/search?q=love` | < 1000ms | Pass |
| PERF-004 | Concurrent users - 100 users | GET | `/api/poems` | All succeed | Pass |
| PERF-005 | Large payload upload | POST | `/api/upload/audio` | 15MB file | Processed |
| PERF-006 | Database query optimization | GET | `/api/audio/stats` | < 200ms | Pass |

---

## ✅ 25. HEALTH CHECK & MONITORING

| TC-ID | Scenario | Method | Endpoint | Expected Status | Expected Response |
|-------|----------|--------|----------|-----------------|-------------------|
| HEALTH-001 | Health check | GET | `/health` | 200 OK | `{ status: "OK", timestamp, uptime }` |
| HEALTH-002 | Database connectivity | GET | `/health/db` | 200 OK | `{ database: "connected" }` |
| HEALTH-003 | Storage health | GET | `/health/storage` | 200 OK | `{ storage: "available", freeSpace }` |
| HEALTH-004 | Redis/cache health | GET | `/health/cache` | 200 OK | `{ cache: "connected" }` |
| HEALTH-005 | API version | GET | `/api/version` | 200 OK | `{ version, environment, buildNumber }` |

---

# 📊 Test Coverage Summary

| Module | Total Endpoints | Test Cases | Coverage |
|--------|----------------|------------|----------|
| Authentication | 8 | 25 | 100% |
| Users | 5 | 14 | 100% |
| Poems | 9 | 20 | 100% |
| Authors | 6 | 10 | 100% |
| Books | 6 | 9 | 100% |
| Audio | 24 | 32 | 100% |
| Videos | 7 | 8 | 100% |
| Categories | 5 | 6 | 100% |
| Search | 7 | 8 | 100% |
| Notifications | 5 | 5 | 100% |
| Subscriptions | 6 | 6 | 100% |
| Admin | 7 | 7 | 100% |
| Creator | 6 | 7 | 100% |
| Upload | 10 | 10 | 100% |
| AI | 3 | 4 | 100% |
| Transliteration | 3 | 3 | 100% |
| Blogs | 6 | 7 | 100% |
| Backup | 4 | 4 | 100% |
| App Settings | 8 | 10 | 100% |
| Captcha | 3 | 5 | 100% |
| Comments | 6 | 8 | 100% |
| Ads | 7 | 7 | 100% |
| Sitemap | 3 | 3 | 100% |
| Rate Limiting | - | 6 | - |
| Performance | - | 6 | - |
| Security | - | 6 | - |
| Health | 5 | 5 | 100% |
| **TOTAL** | **~180** | **~231** | **100%** |

---
